0,,2
1,带领团队对入驻平台的商家进行日常管理，确保商品的质量和品质稳定，客户满意度高,2
2,定期向公司提交市场竞品项目分析报告,3
3,"""1.根据组织战略规划，优化经营管理工作方法，梳理授权以及优化人、财、物的相关流程",3
4,负责业务网点现场操作管理、营运质量管理、安全管理,4
5,负责点部营运管理工作,4
6,对区域重货集配站基础建设，人员，车辆，工具设备等资源投放推动、监控及优化,2
7,拜访客户，了解客户需求，改善客户关系，提高客户满意度:,2
8,大型企业销售流程（CRM)，供应链管理，新产品开发(PLM)，运营交付等领域系统开发项目经验,2
9,维持及发现运营异常情况和问题，确保快件时效、安全及客户满意度达到公司标准,2
10,"完成点部业务开拓及维护。""",2
11,与跨职能其他部门进行沟通，保障海外和大陆大客户销售组的需求及时跟进,2
12,"""1、门店LSS质量考核数据监控，针对重点门店质量改善跟进",2
13,管理全网全网络中转场资产设备维修及维护保养,2
14,及时对到发车晚点及突发事件进行处理、上报、跟进及反馈,3
15,"处理分部财务、行政及其他相关工作。""",4
16,"""1、规划负责分部的发展（区域、人员、资源），实现分部经营目标(分部即网点，网点人员100-300人不等）",2
17,统筹地区会议管理体系的应用、优化与落地,3
18,依据对集团战略的理解，对相关行业进行研究并对潜在投资项目进行筛选，比较、评估潜在投资项目的投资价值与风险，并持续跟踪行业及行业公司的发展动态,2
19,监督实施物流体系职责与管理标准,4
20,熟悉各种元器件的品名规格以及功能等常识，会分析电路原理，看懂原理图，动手能力强,2
21,推动异常指标改进措施的实施,3
22,针对战略问题与其他部门讨论，并将讨论结果转化为规划方案的输入，进行规划方案在集团高层层面的汇报和审核,3
23,"""1、有效执行仓储营运及质量改善有关管理制度、操作标准、作业指令，提升仓储营运能力和质量水平",2
24,协调相关部门、推动产品落地,3
25,"""1.	规范收派员和仓管的操作流程，进行现场操作辅导，提高员工实操技能",2
26,"上级交办的其它事项。""",0
27,"""1、负责微信和丰声公众号内容的创意和产出，制定宣传和内容输出的策略，完成部门和包装产品的介绍和宣传文案",2
28,关注冷运行业的竞争环境，收集竞争情报，跨业务线沟通合作的基础上开展竞争分析，结合第三方数据产品输出竞争分析报告，支持高层及业务线决策,2
29,"协助领导解决管理问题，提升分部营运质量，保证快件时效实现和快件安全；营运数据监控，发现异常及时整改。""",2
30,"""主要职责：",1
31,"""1、分点部日常管理及正常营运工作，对分部发展方向的思考,对整体团队的领导和把控",2
