,index,id,score,index,cv_id,score
0,0,5a1c0290f0f0f24d856eb2aa,91,26,5ba476dcf0f04220de67032f,0.5920852865287043
1,7,58b6b4ffb1222c305523f069,87,2,5b0bae97611c023fbec67c9e,0.5123500916579906
2,16,5b0bae97611c023fbec67c9e,86,19,5a6a08d8f0f08ca07017295d,0.5026778243044269
3,27,5b06c5ec611cc7db31677456,85,94,5b3ed9d0611ccd659eb18b68,0.4912400117927628
4,89,595c7c79f0f0dcff9b039f26,85,15,5a98ea86f0f0143a30e74186,0.4891363075956246
5,20,5b02d273611cd9a3b1eac331,84,8,5a4ae751f0f079b703308ab5,0.4814860878427447
6,77,58e5ae75f0f014cf1e370797,83,55,5bd04818f0f0111376afbd3d,0.45638489780460995
7,22,5b3c2680611c19891c98a385,83,31,5b97fa32f0f053108ae97439,0.43698204688519193
8,1,5a4ae751f0f079b703308ab5,83,37,59ed8273f0f080eb240e4ab9,0.4339131296254095
9,6,5aa7f426f0f074046641c495,82,90,5b798c1ef0f079b3bb51bb3c,0.42697236770513564
10,19,5b2bde2d611cf2b142c1d06f,81,62,5c1a0063f0f03a3df1860d35,0.42581965723176757
11,95,5961b469f0f0d91c94872d5a,80,6,58e5ae75f0f014cf1e370797,0.4112622769349606
12,59,5bd17c79f0f0111376f855bb,80,75,5b10121e611cf2efd57fb697,0.41004431282074155
13,52,5ba90ed8f0f00da092b62673,80,58,5c5109b3f0f0531757c4b4c7,0.40812170992225344
14,78,58e5aefdf0f014cf1e3735a0,80,0,5a1c0290f0f0f24d856eb2aa,0.4023014456581658
15,4,5a98ea86f0f0143a30e74186,80,7,5b3c2680611c19891c98a385,0.4019834399096605
16,49,5b454003611c56f0bde964f7,80,86,5bbe9284f0f02f8d4e5b21ba,0.39049477938382043
17,76,58e5ae6df0f014cf1e37056e,79,84,5b7a47d9f0f079b3bb902991,0.3877092194795273
18,87,586fde90f0f0648ce719dd85,77,28,5ae688f4611c6ce6797d5675,0.378670542154416
19,3,5a6a08d8f0f08ca07017295d,77,14,58e5aefdf0f014cf1e3735a0,0.3776374912266633
20,80,59bb8ee4f0f0f9762aacdd0c,76,44,5bdfe471f0f04fac59674f15,0.37728810201486657
21,73,58cf934bb122271ae6dc3a75,76,40,598d9ccaf0f0a3e821218c6d,0.36578595555179133
22,84,586d76f1f0f0117de95c4af0,76,70,5b44528f611c56f0bd7047a9,0.36433020909708097
23,23,5b3de297611ccd659e323672,76,72,5aabb575f0f00ddd5f841ffd,0.36233109199578084
24,85,586d7663f0f0117de94f2eeb,75,49,5bc60de7f0f094ee3f6fab2c,0.3600921892904131
25,74,58d011ddb122271ae751d4b0,75,32,5b20d30b611c6f728256399a,0.3538171262003829
26,53,5ba476dcf0f04220de67032f,75,89,5b4ef682611c3e897a454dad,0.3508285073810022
27,93,5950bfc6f0f01f4bd038abfb,74,34,5c24da60f0f0c76dab420c30,0.3496404585610551
28,12,5ae688f4611c6ce6797d5675,73,3,5b06c5ec611cc7db31677456,0.34846789693939156
29,5,5a983a73f0f0df3ee1b0ed3e,72,16,5b454003611c56f0bde964f7,0.3411157844257478
30,11,5acb7e18f0f0d2727e40f73c,72,76,5c3b8eeef0f00697b4d73f0d,0.34078725860056314
31,40,5b97fa32f0f053108ae97439,71,96,5b4ddf40611c3e8979b89df0,0.33935139753707233
