,cv_id,score
26,5ba476dcf0f04220de67032f,0.5920852865287043
2,5b0bae97611c023fbec67c9e,0.5123500916579906
19,5a6a08d8f0f08ca07017295d,0.5026778243044269
94,5b3ed9d0611ccd659eb18b68,0.4912400117927628
15,5a98ea86f0f0143a30e74186,0.4891363075956246
8,5a4ae751f0f079b703308ab5,0.4814860878427447
55,5bd04818f0f0111376afbd3d,0.45638489780460995
31,5b97fa32f0f053108ae97439,0.43698204688519193
37,59ed8273f0f080eb240e4ab9,0.4339131296254095
90,5b798c1ef0f079b3bb51bb3c,0.42697236770513564
62,5c1a0063f0f03a3df1860d35,0.42581965723176757
6,58e5ae75f0f014cf1e370797,0.4112622769349606
75,5b10121e611cf2efd57fb697,0.41004431282074155
58,5c5109b3f0f0531757c4b4c7,0.40812170992225344
0,5a1c0290f0f0f24d856eb2aa,0.4023014456581658
7,5b3c2680611c19891c98a385,0.4019834399096605
86,5bbe9284f0f02f8d4e5b21ba,0.39049477938382043
84,5b7a47d9f0f079b3bb902991,0.3877092194795273
28,5ae688f4611c6ce6797d5675,0.378670542154416
14,58e5aefdf0f014cf1e3735a0,0.3776374912266633
44,5bdfe471f0f04fac59674f15,0.37728810201486657
40,598d9ccaf0f0a3e821218c6d,0.36578595555179133
70,5b44528f611c56f0bd7047a9,0.36433020909708097
72,5aabb575f0f00ddd5f841ffd,0.36233109199578084
49,5bc60de7f0f094ee3f6fab2c,0.3600921892904131
32,5b20d30b611c6f728256399a,0.3538171262003829
89,5b4ef682611c3e897a454dad,0.3508285073810022
34,5c24da60f0f0c76dab420c30,0.3496404585610551
3,5b06c5ec611cc7db31677456,0.34846789693939156
16,5b454003611c56f0bde964f7,0.3411157844257478
76,5c3b8eeef0f00697b4d73f0d,0.34078725860056314
96,5b4ddf40611c3e8979b89df0,0.33935139753707233
9,5aa7f426f0f074046641c495,0.33836625312827046
53,5b87a1f6f0f088df9c2bac22,0.3383004562251918
11,5961b469f0f0d91c94872d5a,0.3339383894396953
22,586d76f1f0f0117de95c4af0,0.32920472568673426
36,58fe158cf0f0847a4b529645,0.3282088955801433
60,5ba2181ef0f04220ddcb99cc,0.32802050414636896
41,58e5ae2ef0f0b66f82689990,0.32769813569655765
57,5b42d2fc611cffacc1893b80,0.32741316231334633
68,5af91c0f611c49b2ebc4ae0b,0.32451134076997823
73,5c696dd7f0f024404951f15a,0.32262554568961443
52,5b2de6d7611c11dc7d1902ff,0.3212939409984828
42,5b479bb8611c56f0bf22a82b,0.3200930009335364
80,5c6f5201f0f081041f2e7c00,0.3192615349986809
1,58b6b4ffb1222c305523f069,0.3190929238082673
63,5c1902c0f0f03a3df144d78a,0.3189641148290693
18,586fde90f0f0648ce719dd85,0.318292471440407
25,58d011ddb122271ae751d4b0,0.3182287819169044
69,5b62880ff0f0dac547c5a45b,0.31489747066803214
21,58cf934bb122271ae6dc3a75,0.31291409642216206
33,5b023ad3611ca3a15ee70cbd,0.31187538371753487
35,59c8a0f2f0f0b7880c122738,0.3093061494328252
59,59f9d903f0f00a3a6efe684c,0.30499421479641475
64,5ac38d9ff0f01dbca63c347b,0.3043832181401507
4,595c7c79f0f0dcff9b039f26,0.3038142576693557
43,5926cc17f0f030cd29e701ad,0.3031186688038251
5,5b02d273611cd9a3b1eac331,0.30258728206981145
23,5b3de297611ccd659e323672,0.3021028893965298
48,595baf95f0f0c0c266ce3228,0.2981699812379381
38,595db449f0f0c0c269a65d57,0.29277901728081657
12,5bd17c79f0f0111376f855bb,0.2924664363325612
50,5bafde0af0f07d4640f24340,0.29197461675292197
78,5afd46a9f0f015df1b21a07c,0.28897193216358774
13,5ba90ed8f0f00da092b62673,0.2873599338088615
91,5c2f4f47f0f0b16f80cb98a7,0.286411035462529
54,5b056b9b611cc7db3029c60d,0.2852384503503162
85,5bac952ff0f00da093b5de7e,0.28522599199289383
27,5950bfc6f0f01f4bd038abfb,0.28294532764937447
51,598482c2f0f0eb0b8c11373d,0.2792891773470397
87,5b42ff3f611cffacc1ad5bf7,0.278858958824387
24,586d7663f0f0117de94f2eeb,0.27677184941009536
30,5acb7e18f0f0d2727e40f73c,0.27583642981664175
20,59bb8ee4f0f0f9762aacdd0c,0.2744770632315738
95,5ba0a88df0f04220dd58de6b,0.27343152106973495
39,5955ea75f0f08da84aa463dc,0.2733109778232614
